Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
elovena 10x30g uuniome-toffee keksi,Leipä:701,Keksit:767,Välipalakeksit:778,g,1870.0,16.0,64.0,8.0,1.0,7.0,,
mandariini bruno,Hedelmät ja vihannekset:1,Hedelmät:2,Sitrushedelmät:3,g,189.0,0.1198,8.3,0.51,0.0,1.9,Mandariinit:8,
sm tm 336g corn tortilla,Kuivatuotteet:895,Tex-mex:935,"Kuoret,tortillat ja dinnerit:936",g,1250.0,5.5,50.0,7.5,,,,
oatly 1l kaurajuoma suklaa,Maito:351,"Soija-, kaura- ja muut maitojuomat:364",Ei maitopohjaiset juomat lämpimästä:1763,g,250.0,1.5,10.0,1.2,0.16,1.1,,
fazer travel 130g orange sukllevy,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2223.0,31.0,50.0,8.4,0.16,,,
hk 400g naudan jauheliha 10 %,Liha:80,Jauheliha:167,Jauhelihat:168,g,710.0,10.0,0.0,20.0,,,,
herkkusienirasia,Hedelmät ja vihannekset:1,Sienet:77,,g,67.0,0.2107,0.3,2.1,0.0,1.5,,
pätkis 140g mini bites minttutryffe,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Suklaamakeispussit ja -pakkaukset:1160,g,2062.0,26.0,61.0,3.5,0.1,,,
reissumies 280g ruissämpylä sämpyl,Leipä:701,Tuore leipä:702,Sämpylät:708,g,1081.0,3.8,40.0,12.0,0.7,8.7,,
atria 600g burger naudanliha,Liha:80,Jauheliha:167,Jauhelihat:168,g,1029.0,20.0,0.0,17.0,0.14,0.0,,
pastella 250g spagh natur tuorepas,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1120.0,2.5,48.0,11.0,0.0,2.4,,
saar 200g bataattipyörykät,Valmisruoka:497,"Pihvit, puikot, pyörykät ja ohukaiset:552",Pyörykät:566,g,753.0,8.1,20.0,5.7,0.95,3.2,,
planti 2x150g tropical fruits soyg.,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,330.0,1.9,10.0,3.9,0.1,2.4,,
atria pt 1000g honey b fileel,Liha:80,"Broileri, kana & kalkkuna:186","Br. pihvit, leik. ja puolivalm.:190",g,393.0,1.6,2.5,17.0,1.2,0.2,,
pp luotolaispalat 6/300g,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1080.0,1.7,50.8,7.0,1.2,4.0,,
atria 300g jalapeño coleslaw,Valmisruoka:497,Salaatit:498,Majoneesisalaatit:499,g,774.0,17.0,5.9,1.1,0.51,1.4,,
pantti 0,Juomat:994,Vedet:1028,Hyvinvointivesi:2954,g,242.0,0.0,4.8,0.0,0.01,,,
somersby apple 4,Juomat:994,Siiderit:1051,Siiderit omena tavallinen:2976,g,240.0,,7.6,,,,,
happy joe dry apple 4,Juomat:994,Siiderit:1051,Siiderit omena kuiva:2978,g,192.0,0.0,4.6,0.0,,0.0,,
airwaves 35g lemon ice purukumi,"Makeiset, jäätelöt ja naposteltavat:1144",Purukumit:1168,Purukumipussit ja -pakkaukset<60g:1171,g,650.0,0.0,64.0,0.0,,0.0,,
